# time,x,y,z,vx,vy,vz,ax,ay,az,errx,erry,errz
0.0000000,-39.8987000,-43.3543000,0.9630000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,-0.0000041,0.0000076,-0.9630000
0.0120000,-39.8987000,-43.3544000,0.9634300,-0.0015278,-0.0008111,0.0370553,-0.1399340,-0.0739238,-1.5946200,0.0000065,0.0000132,-0.9634300
0.0210000,-39.8987000,-43.3544000,0.9635080,-0.0027533,-0.0014663,-0.0098636,-0.1191030,-0.0634822,-6.6360600,0.0000278,0.0000246,-0.9635080
0.0330000,-39.8987000,-43.3544000,0.9626330,-0.0038415,-0.0020502,-0.1148370,-0.0721981,-0.0389127,-9.6650800,0.0000696,0.0000469,-0.9626330
0.0420000,-39.8988000,-43.3544000,0.9610440,-0.0042732,-0.0022818,-0.2081870,-0.0386515,-0.0206558,-10.6451000,-0.0000039,0.0000072,-0.9610440
0.0510000,-39.8988000,-43.3544000,0.9585800,-0.0044857,-0.0023984,-0.3069380,-0.0180539,-0.0101717,-11.0944000,0.0000359,0.0000285,-0.9585800
0.0600000,-39.8989000,-43.3544000,0.9552120,-0.0045275,-0.0024200,-0.4080420,0.0042434,0.0022074,-11.2755000,0.0000767,0.0000502,-0.9552120
0.0720000,-39.8989000,-43.3545000,0.9491220,-0.0006811,-0.0003546,-0.5791840,0.4851640,0.2618040,-15.4729000,-0.0000037,0.0000069,-0.9491220
0.0810000,-39.8989000,-43.3545000,0.9430190,-0.0009081,-0.0004767,-0.7191640,-0.0245534,-0.0116193,-12.9746000,0.0000036,0.0000107,-0.9430190
0.0900000,-39.8989000,-43.3545000,0.9359330,-0.0009257,-0.0004925,-0.8196720,0.0020422,0.0005534,-10.6625000,0.0000120,0.0000152,-0.9359330
0.1020000,-39.8989000,-43.3545000,0.9251690,-0.0009102,-0.0004873,-0.9428390,-0.0006433,-0.0005247,-10.1476000,0.0000230,0.0000210,-0.9251690
0.1110000,-39.8989000,-43.3545000,0.9161380,-0.0009173,-0.0004921,-1.0337200,-0.0010653,-0.0006256,-10.0822000,0.0000312,0.0000254,-0.9161380
0.1200000,-39.8989000,-43.3545000,0.9062910,-0.0009235,-0.0004954,-1.1243000,-0.0000345,0.0000516,-10.0597000,0.0000395,0.0000299,-0.9062910
0.1320000,-39.8989000,-43.3545000,0.8918950,-0.0009413,-0.0005050,-1.2448700,-0.0017641,-0.0009650,-10.0408000,0.0000507,0.0000359,-0.8918950
0.1410000,-39.8990000,-43.3545000,0.8801490,-0.0009505,-0.0005105,-1.3351900,-0.0013996,-0.0008774,-10.0310000,0.0000592,0.0000405,-0.8801490
0.1500000,-39.8990000,-43.3545000,0.8675910,-0.0009625,-0.0005174,-1.4254100,-0.0019059,-0.0011187,-10.0209000,0.0000678,0.0000451,-0.8675910
0.1620000,-39.8990000,-43.3545000,0.8495870,-0.0015554,-0.0008362,-1.5490100,-0.2984310,-0.1593270,-12.5037000,-0.0000036,0.0000067,-0.8495870
0.1710000,-39.8990000,-43.3545000,0.8345830,0.0002556,0.0001183,-1.7231900,0.4348010,0.2302040,-17.3938000,0.0000044,0.0000111,-0.8345830
0.1800000,-39.8990000,-43.3545000,0.8193390,0.0040945,0.0022227,-1.5763900,0.5933000,0.5125100,58.8611000,-0.0000202,-0.0000004,-0.8193390
0.1920000,-39.8985000,-43.3542000,0.8043120,0.0432850,0.0303998,-1.1085900,-0.2705010,3.0248400,13.1494000,0.0000049,-0.0000091,-0.8043120
0.2010000,-39.8981000,-43.3540000,0.7945690,0.0376551,0.0268459,-1.0703700,-0.9141860,-0.5288680,3.8050400,0.0000301,-0.0000560,-0.7945690
0.2100000,-39.8978000,-43.3538000,0.7854580,0.0306317,0.0160941,-0.9694870,-3.7593500,2.9916800,13.0274000,0.0000110,-0.0000205,-0.7854580
0.2220000,-39.8974000,-43.3536000,0.7751310,0.0338080,0.0300597,-0.7408470,2.5024200,3.2150900,22.6747000,0.0000302,-0.0000562,-0.7751310
0.2310000,-39.8971000,-43.3534000,0.7689540,0.0349117,0.0183989,-0.6520030,0.8879710,-3.2154600,14.4950000,0.0000566,-0.0001054,-0.7689540
0.2400000,-39.8967000,-43.3532000,0.7640960,0.0499952,0.0219826,-0.5043260,-0.1175060,-0.3718950,7.4639000,0.0000545,-0.0001014,-0.7640960
0.2520000,-39.8961000,-43.3527000,0.7591770,0.0579673,0.0325215,-0.3516860,2.9387800,-2.0193000,11.3652000,0.0000993,-0.0001847,-0.7591770
0.2610000,-39.8956000,-43.3524000,0.7565620,0.0605110,0.0393811,-0.2636050,0.9750150,1.1478700,5.9882600,0.0001172,-0.0002180,-0.7565620
0.2700000,-39.8950000,-43.3520000,0.7546060,0.0596133,0.0458737,-0.1932980,0.7793080,0.4326590,5.0964900,0.0001648,-0.0003065,-0.7546060
0.2820000,-39.8944000,-43.3516000,0.7528140,0.0550808,0.0269746,-0.1209500,0.3832290,-0.0349735,4.0598000,0.0001897,-0.0003529,-0.7528140
0.2910000,-39.8939000,-43.3513000,0.7518650,0.0484067,0.0340425,-0.0975868,-0.6219060,-0.2595060,3.1506200,0.0002070,-0.0003850,-0.7518650
0.3000000,-39.8935000,-43.3511000,0.7512340,0.0435235,0.0191311,-0.0598249,-0.2967770,0.6873670,4.0413500,0.0001844,-0.0003431,-0.7512340
0.3120000,-39.8930000,-43.3510000,0.7509190,0.0297827,0.0081805,-0.0117699,-3.4730500,-0.9773830,1.3654800,0.0001390,-0.0002586,-0.7509190
0.3210000,-39.8928000,-43.3509000,0.7509370,0.0278168,0.0032031,0.0085849,-0.6245160,-1.3454400,2.2603200,0.0001053,-0.0001958,-0.7509370
0.3300000,-39.8925000,-43.3509000,0.7510810,0.0219856,-0.0015868,0.0181609,-1.9240100,-1.0531700,1.5086700,0.0000568,-0.0001057,-0.7510810
0.3420000,-39.8924000,-43.3509000,0.7514340,0.0080964,-0.0009849,0.0381078,-2.3242500,-1.4688200,1.6914100,0.0000205,-0.0000382,-0.7514340
0.3510000,-39.8923000,-43.3509000,0.7517180,0.0062739,-0.0033854,0.0285027,-1.0159900,-1.0008700,-1.7771600,-0.0000476,-0.0000169,-0.7517180
0.3600000,-39.8922000,-43.3509000,0.7519160,0.0069396,0.0001670,0.0249938,0.7328290,1.3131900,2.5858400,-0.0000225,0.0000418,-0.7519160
0.3720000,-39.8922000,-43.3509000,0.7522440,0.0021236,-0.0021988,0.0197490,-1.8218900,-1.9920100,-2.9603000,-0.0000779,0.0000348,-0.7522440
0.3810000,-39.8922000,-43.3509000,0.7525210,0.0013933,0.0043538,0.0340535,-0.0180816,0.6822050,1.4910900,-0.0000848,0.0000167,-0.7525210
0.3900000,-39.8921000,-43.3509000,0.7528750,0.0030434,0.0042466,0.0370845,0.7055340,-0.1891140,-2.2627900,-0.0000139,0.0000259,-0.7528750
0.4020000,-39.8921000,-43.3508000,0.7532350,0.0029406,0.0031964,0.0230704,0.9399260,0.4091490,-1.5020500,-0.0000241,-0.0000055,-0.7532350
0.4110000,-39.8921000,-43.3508000,0.7534670,0.0048389,0.0034235,0.0250175,-1.3101600,-0.6248190,1.2134500,-0.0000004,0.0000008,-0.7534670
0.4200000,-39.8921000,-43.3508000,0.7536510,-0.0000112,0.0049088,0.0282727,-0.1469010,0.6186650,2.3974700,-0.0000069,-0.0000238,-0.7536510
0.4320000,-39.8921000,-43.3507000,0.7540280,-0.0021699,0.0061427,0.0253287,0.0596998,-0.4105160,-3.3671000,0.0000194,-0.0001197,-0.7540280
0.4410000,-39.8921000,-43.3506000,0.7543130,0.0023410,0.0116391,0.0358515,0.7933530,-0.5561230,1.6565500,0.0000962,-0.0001789,-0.7543130
0.4500000,-39.8921000,-43.3505000,0.7545910,0.0024702,0.0084677,0.0323191,-0.0927842,-0.2477170,0.4985240,0.0000707,-0.0002612,-0.7545910
0.4620000,-39.8921000,-43.3504000,0.7548750,-0.0028138,0.0027982,0.0263136,-1.0656800,-0.0136856,3.3858000,0.0001444,-0.0002686,-0.7548750
0.4710000,-39.8921000,-43.3504000,0.7551710,0.0021072,0.0051991,0.0331342,-0.9508310,0.3172790,-0.0285240,0.0001294,-0.0003062,-0.7551710
