# time,x,y,z,vx,vy,vz,ax,ay,az,errx,erry,errz
0.0000000,-22.3674000,-28.5647000,0.9630000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
0.0120000,-22.3674000,-28.5647000,0.9631900,-0.0003952,0.0051041,0.0290729,1.3466200,1.0117400,27.0701000,0.0000000,0.0000000,0.0000000
0.0210000,-22.3675000,-28.5647000,0.9631070,-0.0110150,-0.0066834,-0.0318341,-1.3058200,-3.6644500,-8.6480400,0.0000000,0.0000000,0.0000000
0.0330000,-22.3675000,-28.5645000,0.9621410,-0.0038817,0.0125232,-0.0987723,0.2199920,0.0925214,7.3829200,0.0000000,0.0000000,0.0000000
0.0420000,-22.3678000,-28.5642000,0.9607070,0.0088324,-0.0694608,-0.1228050,19.1725000,-51.2915000,7.3952700,0.0000000,0.0000000,0.0000000
0.0510000,-22.3678000,-28.5646000,0.9588910,-0.0046778,-0.0269177,-0.2529050,1.1059300,-0.4363740,-17.3086000,0.0000000,0.0000000,0.0000000
0.0600000,-22.3678000,-28.5647000,0.9556360,0.0057011,-0.0147940,-0.4140990,1.0962400,1.0609800,-14.7233000,0.0000000,0.0000000,0.0000000
0.0720000,-22.3677000,-28.5648000,0.9493600,0.0051274,-0.0064607,-0.5885470,-0.7447510,0.5350530,-13.9098000,0.0000000,0.0000000,0.0000000
0.0810000,-22.3677000,-28.5649000,0.9432230,-0.0035301,-0.0047211,-0.7253790,-1.1408200,-1.7963200,-13.6999000,0.0000000,0.0000000,0.0000000
0.0900000,-22.3677000,-28.5648000,0.9360910,-0.0041726,0.0040355,-0.8248190,-0.5491110,0.6044920,-10.8111000,0.0000000,0.0000000,0.0000000
0.1020000,-22.3678000,-28.5648000,0.9253330,0.0027336,0.0021111,-0.9381110,2.7121200,-0.8505600,-8.5685500,0.0000000,0.0000000,0.0000000
0.1110000,-22.3678000,-28.5648000,0.9163580,-0.0029447,-0.0026764,-1.0301500,-2.8429100,2.6626600,-10.8620000,0.0000000,0.0000000,0.0000000
0.1200000,-22.3678000,-28.5648000,0.9064910,-0.0028096,0.0001323,-1.1280700,-0.8722110,0.7067190,-10.9793000,0.0000000,0.0000000,0.0000000
0.1320000,-22.3678000,-28.5648000,0.8920770,-0.0022073,0.0012188,-1.2451300,-0.8700250,0.7782900,-9.8589800,0.0000000,0.0000000,0.0000000
0.1410000,-22.3678000,-28.5648000,0.8802870,0.0064421,0.0001228,-1.3477600,2.7339800,-0.8345100,-13.2568000,0.0000000,0.0000000,0.0000000
0.1500000,-22.3677000,-28.5648000,0.8675760,0.0081850,-0.0026399,-1.4398200,-0.8472110,-0.4504150,-8.5303500,0.0000000,0.0000000,0.0000000
0.1620000,-22.3677000,-28.5648000,0.8495050,-0.0024149,0.0002526,-1.5462000,-1.2067400,0.5665450,-9.2690500,0.0000000,0.0000000,0.0000000
0.1710000,-22.3676000,-28.5649000,0.8347600,0.0068514,-0.0072788,-1.6906700,-0.8560300,-3.3525800,-17.9872000,0.0000000,0.0000000,0.0000000
0.1800000,-22.3669000,-28.5650000,0.8198300,0.0540588,0.0091206,-1.5985000,-46.9410000,13.0754000,16.6948000,0.0000000,0.0000000,0.0000000
0.1920000,-22.3656000,-28.5645000,0.8031620,0.1187260,0.0193851,-1.1424300,4.6734900,-6.8081500,92.7176000,0.0000000,0.0000000,0.0000000
0.2010000,-22.3651000,-28.5641000,0.7936300,0.0438615,0.0436098,-1.0254100,-7.8421700,-0.0044081,12.2947000,0.0000000,0.0000000,0.0000000
0.2100000,-22.3650000,-28.5636000,0.7849080,-0.0070855,0.0561810,-0.9445710,-6.1347200,1.9323700,8.0285100,0.0000000,0.0000000,0.0000000
0.2220000,-22.3644000,-28.5631000,0.7749770,0.0769009,0.0474427,-0.7777400,8.2596000,1.0512900,15.9701000,0.0000000,0.0000000,0.0000000
0.2310000,-22.3635000,-28.5625000,0.7684990,0.1514520,0.0823519,-0.6551480,22.7497000,6.9953700,30.8036000,0.0000000,0.0000000,0.0000000
0.2400000,-22.3623000,-28.5618000,0.7629170,0.1137490,0.0718599,-0.5822520,-13.9216000,0.9427960,16.4941000,0.0000000,0.0000000,0.0000000
0.2520000,-22.3616000,-28.5608000,0.7570430,0.0804375,0.0946299,-0.4534850,1.2885100,0.8984330,7.1160700,0.0000000,0.0000000,0.0000000
0.2610000,-22.3609000,-28.5600000,0.7535870,0.0773948,0.0755764,-0.3391990,6.2488700,-1.4894000,13.4853000,0.0000000,0.0000000,0.0000000
0.2700000,-22.3603000,-28.5594000,0.7509470,0.0417791,0.0733454,-0.2572940,-12.6052000,-0.8178060,16.2216000,0.0000000,0.0000000,0.0000000
0.2820000,-22.3595000,-28.5587000,0.7483330,0.0537545,0.0577330,-0.1853750,-0.3241460,-0.0373859,8.4239000,0.0000000,0.0000000,0.0000000
0.2910000,-22.3590000,-28.5582000,0.7469980,0.0615681,0.0507252,-0.1292240,1.1639900,-1.2073700,6.2225800,0.0000000,0.0000000,0.0000000
0.3000000,-22.3584000,-28.5578000,0.7461100,0.0626529,0.0423495,-0.0829830,-2.1893200,-0.5341260,5.2844800,0.0000000,0.0000000,0.0000000
0.3120000,-22.3579000,-28.5574000,0.7455620,0.0324228,0.0288174,-0.0295580,-3.2306500,-1.2072600,2.2702700,0.0000000,0.0000000,0.0000000
0.3210000,-22.3577000,-28.5572000,0.7454730,0.0163909,0.0184758,-0.0007402,-1.5816400,-0.9642160,3.4115000,0.0000000,0.0000000,0.0000000
0.3300000,-22.3576000,-28.5570000,0.7456000,0.0097470,0.0111885,0.0223646,0.7393790,-0.4626420,3.6015100,0.0000000,0.0000000,0.0000000
0.3420000,-22.3574000,-28.5569000,0.7460720,0.0208341,0.0143715,0.0473071,0.9716050,0.3672390,0.7968740,0.0000000,0.0000000,0.0000000
